Datum,Autobahn_KFZ_Total,Autobahn_KFZ_Total_Rolling_Average_7_Days
2017-01-01,26975627,
2017-01-02,41560509,
2017-01-03,39117647,
2017-01-04,36828052,
2017-01-05,39337185,
2017-01-06,39006267,
2017-01-07,31657807,36354727.71428572
2017-01-08,29209714,36673883.0
2017-01-09,41175427,36618871.28571428
2017-01-10,39907081,36731647.571428575
2017-01-11,41255728,37364172.71428572
2017-01-12,43493472,37957928.0
2017-01-13,42542248,38463068.14285714
2017-01-14,30303106,38269539.428571425
2017-01-15,26828791,37929407.571428575
2017-01-16,42164595,38070717.28571428
2017-01-17,42720007,38472563.85714286
2017-01-18,43675153,38818196.0
2017-01-19,44924345,39022606.428571425
2017-01-20,47555831,39738832.571428575
2017-01-21,34914810,40397647.428571425
2017-01-22,30356064,40901543.571428575
2017-01-23,43119006,41037888.0
2017-01-24,42798813,41049146.0
2017-01-25,44167076,41119420.71428572
2017-01-26,45732979,41234939.85714286
2017-01-27,49553385,41520304.71428572
2017-01-28,36948684,41810858.14285714
2017-01-29,31418487,41962632.85714286
2017-01-30,43432746,42007452.85714286
2017-01-31,43756776,42144304.71428572
2017-02-01,44521108,42194880.71428572
2017-02-02,45751764,42197564.28571428
2017-02-03,49141383,42138706.85714286
2017-02-04,37533066,42222190.0
2017-02-05,31960927,42299681.428571425
2017-02-06,44386418,42435920.28571428
2017-02-07,44255093,42507108.428571425
2017-02-08,45107893,42590934.85714286
2017-02-09,46590463,42710749.0
2017-02-10,49871666,42815075.14285714
2017-02-11,36936771,42729890.14285714
2017-02-12,31884394,42718956.85714286
2017-02-13,44854230,42785787.14285714
2017-02-14,45038110,42897646.71428572
2017-02-15,46717171,43127543.571428575
2017-02-16,47646525,43278409.571428575
2017-02-17,51280652,43479693.28571428
2017-02-18,39539251,43851476.14285714
2017-02-19,33369809,44063678.28571428
2017-02-20,45226540,44116865.428571425
2017-02-21,44943085,44103290.428571425
2017-02-22,46363703,44052795.0
2017-02-23,46621156,43906313.71428572
2017-02-24,52474202,44076820.85714286
2017-02-25,40544851,44220478.0
2017-02-26,32014585,44026874.571428575
2017-02-27,41905142,43552389.14285714
2017-02-28,44564835,43498353.428571425
2017-03-01,46727959,43550390.0
2017-03-02,47845770,43725334.85714286
2017-03-03,52305194,43701190.85714286
2017-03-04,43002403,44052269.71428572
2017-03-05,36355582,44672412.14285714
2017-03-06,45953831,45250796.28571428
2017-03-07,45616899,45401091.14285714
2017-03-08,46572449,45378875.428571425
2017-03-09,48141331,45421098.428571425
2017-03-10,52192618,45405016.14285714
2017-03-11,40278119,45015832.71428572
2017-03-12,36989645,45106413.14285714
2017-03-13,46893916,45240711.0
2017-03-14,46670167,45391177.85714286
2017-03-15,48092365,45608308.71428572
2017-03-16,49614413,45818749.0
2017-03-17,52418584,45851029.85714286
2017-03-18,38729542,45629804.571428575
2017-03-19,35263212,45383171.28571428
2017-03-20,46830454,45374105.28571428
2017-03-21,46461271,45344263.0
2017-03-22,47731460,45292705.14285714
2017-03-23,49435340,45267123.28571428
2017-03-24,52224316,45239370.71428572
2017-03-25,38748343,45242056.571428575
2017-03-26,36171662,45371835.14285714
2017-03-27,47076419,45406973.0
2017-03-28,46603922,45427351.71428572
2017-03-29,47848047,45444007.0
2017-03-30,49681028,45479105.28571428
2017-03-31,52895209,45574947.14285714
2017-04-01,39977475,45750537.428571425
2017-04-02,37504976,45941010.85714286
2017-04-03,47897239,46058270.85714286
